ticker,CIK,company_name,gics_sector,gics_sub_industry
MMM,66740,3M,Industrials,Industrial Conglomerates
AOS,91142,A. O. Smith,Industrials,Building Products
ABT,1800,Abbott Laboratories,Health Care,Health Care Equipment
ABBV,1551152,AbbVie,Health Care,Biotechnology
ACN,1467373,Accenture,Information Technology,IT Consulting & Other Services
ADBE,796343,Adobe Inc.,Information Technology,Application Software
AMD,2488,Advanced Micro Devices,Information Technology,Semiconductors
AES,874761,AES Corporation,Utilities,Independent Power Producers & Energy Traders
A,1090872,Agilent Technologies,Health Care,Life Sciences Tools & Services
APD,2969,Air Products,Materials,Industrial Gases
ABNB,1559720,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
AKAM,1086222,Akamai Technologies,Information Technology,Internet Services & Infrastructure
ALB,915913,Albemarle Corporation,Materials,Specialty Chemicals
ALGN,1097149,Align Technology,Health Care,Health Care Supplies
ALLE,1579241,Allegion,Industrials,Building Products
LNT,352541,Alliant Energy,Utilities,Electric Utilities
GOOGL,1652044,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services
MO,764180,Altria,Consumer Staples,Tobacco
AMZN,1018724,Amazon,Consumer Discretionary,Broadline Retail
AMCR,1748790,Amcor,Materials,Paper & Plastic Packaging Products & Materials
AEE,1002910,Ameren,Utilities,Multi-Utilities
AEP,4904,American Electric Power,Utilities,Electric Utilities
AWK,1410636,American Water Works,Utilities,Water Utilities
AME,1037868,Ametek,Industrials,Electrical Components & Equipment
AMGN,318154,Amgen,Health Care,Biotechnology
APH,820313,Amphenol,Information Technology,Electronic Components
ADI,6281,Analog Devices,Information Technology,Semiconductors
APA,1841666,APA Corporation,Energy,Oil & Gas Exploration & Production
AAPL,320193,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals"
AMAT,6951,Applied Materials,Information Technology,Semiconductor Materials & Equipment
APP,1751008,AppLovin,Information Technology,Application Software
APTV,1521332,Aptiv,Consumer Discretionary,Automotive Parts & Equipment
ADM,7084,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services
ANET,1596532,Arista Networks,Information Technology,Communications Equipment
T,732717,AT&T,Communication Services,Integrated Telecommunication Services
ATO,731802,Atmos Energy,Utilities,Gas Utilities
ADSK,769397,Autodesk,Information Technology,Application Software
ADP,8670,Automatic Data Processing,Industrials,Human Resource & Employment Services
AZO,866787,AutoZone,Consumer Discretionary,Automotive Retail
AVY,8818,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials
AXON,1069183,Axon Enterprise,Industrials,Aerospace & Defense
BKR,1701605,Baker Hughes,Energy,Oil & Gas Equipment & Services
BALL,9389,Ball Corporation,Materials,"Metal, Glass & Plastic Containers"
BAX,10456,Baxter International,Health Care,Health Care Equipment
BDX,10795,Becton Dickinson,Health Care,Health Care Equipment
BBY,764478,Best Buy,Consumer Discretionary,Computer & Electronics Retail
TECH,842023,Bio-Techne,Health Care,Life Sciences Tools & Services
BIIB,875045,Biogen,Health Care,Biotechnology
BA,12927,Boeing,Industrials,Aerospace & Defense
BKNG,1075531,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
BSX,885725,Boston Scientific,Health Care,Health Care Equipment
BMY,14272,Bristol Myers Squibb,Health Care,Pharmaceuticals
AVGO,1730168,Broadcom,Information Technology,Semiconductors
BR,1383312,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services
BF.B,14693,Brown–Forman,Consumer Staples,Distillers & Vintners
BLDR,1316835,Builders FirstSource,Industrials,Building Products
BG,1996862,Bunge Global,Consumer Staples,Agricultural Products & Services
CHRW,1043277,C.H. Robinson,Industrials,Air Freight & Logistics
CDNS,813672,Cadence Design Systems,Information Technology,Application Software
CPB,16732,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats
CAH,721371,Cardinal Health,Health Care,Health Care Distributors
CCL,815097,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
CARR,1783180,Carrier Global,Industrials,Building Products
CVNA,1690820,Carvana,Consumer Discretionary,Automotive Retail
CAT,18230,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment
CDW,1402057,CDW Corporation,Information Technology,Technology Distributors
COR,1140859,Cencora,Health Care,Health Care Distributors
CNC,1071739,Centene Corporation,Health Care,Managed Health Care
CNP,1130310,CenterPoint Energy,Utilities,Multi-Utilities
CF,1324404,CF Industries,Materials,Fertilizers & Agricultural Chemicals
CRL,1100682,Charles River Laboratories,Health Care,Life Sciences Tools & Services
CHTR,1091667,Charter Communications,Communication Services,Cable & Satellite
CVX,93410,Chevron Corporation,Energy,Integrated Oil & Gas
CMG,1058090,Chipotle Mexican Grill,Consumer Discretionary,Restaurants
CHD,313927,Church & Dwight,Consumer Staples,Household Products
CI,1739940,Cigna,Health Care,Health Care Services
CTAS,723254,Cintas,Industrials,Diversified Support Services
CSCO,858877,Cisco,Information Technology,Communications Equipment
CLX,21076,Clorox,Consumer Staples,Household Products
CMS,811156,CMS Energy,Utilities,Multi-Utilities
KO,21344,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages
CTSH,1058290,Cognizant,Information Technology,IT Consulting & Other Services
CL,21665,Colgate-Palmolive,Consumer Staples,Household Products
CMCSA,1166691,Comcast,Communication Services,Cable & Satellite
FIX,1035983,Comfort Systems USA,Industrials,Construction & Engineering
CAG,23217,Conagra Brands,Consumer Staples,Packaged Foods & Meats
COP,1163165,ConocoPhillips,Energy,Oil & Gas Exploration & Production
ED,1047862,Consolidated Edison,Utilities,Multi-Utilities
STZ,16918,Constellation Brands,Consumer Staples,Distillers & Vintners
CEG,1868275,Constellation Energy,Utilities,Electric Utilities
COO,711404,Cooper Companies (The),Health Care,Health Care Supplies
CPRT,900075,Copart,Industrials,Diversified Support Services
GLW,24741,Corning Inc.,Information Technology,Electronic Components
CTVA,1755672,Corteva,Materials,Fertilizers & Agricultural Chemicals
COST,909832,Costco,Consumer Staples,Consumer Staples Merchandise Retail
CTRA,858470,Coterra,Energy,Oil & Gas Exploration & Production
CRH,1782780,CRH plc,Materials,Construction Materials
CRWD,1535527,CrowdStrike,Information Technology,Systems Software
CSX,277948,CSX Corporation,Industrials,Rail Transportation
CMI,26172,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment
CVS,64803,CVS Health,Health Care,Health Care Services
DHR,313616,Danaher Corporation,Health Care,Life Sciences Tools & Services
DRI,940944,Darden Restaurants,Consumer Discretionary,Restaurants
DDOG,1561550,Datadog,Information Technology,Application Software
DVA,927066,DaVita,Health Care,Health Care Services
DECK,910521,Deckers Brands,Consumer Discretionary,Footwear
DE,315189,Deere & Company,Industrials,Agricultural & Farm Machinery
DELL,1571996,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals"
DAL,27904,Delta Air Lines,Industrials,Passenger Airlines
DVN,1090012,Devon Energy,Energy,Oil & Gas Exploration & Production
DXCM,1093557,Dexcom,Health Care,Health Care Equipment
FANG,1539838,Diamondback Energy,Energy,Oil & Gas Exploration & Production
DG,29534,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail
DLTR,935703,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail
D,715957,Dominion Energy,Utilities,Multi-Utilities
DPZ,1286681,Domino's,Consumer Discretionary,Restaurants
DASH,1792789,DoorDash,Consumer Discretionary,Specialized Consumer Services
DOV,29905,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components
DOW,1751788,Dow Inc.,Materials,Commodity Chemicals
DHI,882184,D. R. Horton,Consumer Discretionary,Homebuilding
DTE,936340,DTE Energy,Utilities,Multi-Utilities
DUK,1326160,Duke Energy,Utilities,Electric Utilities
DD,1666700,DuPont,Materials,Specialty Chemicals
ETN,1551182,Eaton Corporation,Industrials,Electrical Components & Equipment
EBAY,1065088,eBay Inc.,Consumer Discretionary,Broadline Retail
ECL,31462,Ecolab,Materials,Specialty Chemicals
EIX,827052,Edison International,Utilities,Electric Utilities
EW,1099800,Edwards Lifesciences,Health Care,Health Care Equipment
EA,712515,Electronic Arts,Communication Services,Interactive Home Entertainment
ELV,1156039,Elevance Health,Health Care,Managed Health Care
EME,1053507,Emcor,Industrials,Construction & Engineering
EMR,32604,Emerson Electric,Industrials,Electrical Components & Equipment
ETR,65984,Entergy,Utilities,Electric Utilities
EOG,821189,EOG Resources,Energy,Oil & Gas Exploration & Production
EPAM,1352010,EPAM Systems,Information Technology,IT Consulting & Other Services
EQT,33213,EQT Corporation,Energy,Oil & Gas Exploration & Production
EFX,33185,Equifax,Industrials,Research & Consulting Services
EL,1001250,Estée Lauder Companies (The),Consumer Staples,Personal Care Products
EVRG,1711269,Evergy,Utilities,Electric Utilities
ES,72741,Eversource Energy,Utilities,Electric Utilities
EXC,1109357,Exelon,Utilities,Electric Utilities
EXE,895126,Expand Energy,Energy,Oil & Gas Exploration & Production
EXPE,1324424,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
EXPD,746515,Expeditors International,Industrials,Air Freight & Logistics
XOM,34088,ExxonMobil,Energy,Integrated Oil & Gas
FFIV,1048695,"F5, Inc.",Information Technology,Communications Equipment
FICO,814547,Fair Isaac,Information Technology,Application Software
FAST,815556,Fastenal,Industrials,Trading Companies & Distributors
FDX,1048911,FedEx,Industrials,Air Freight & Logistics
FSLR,1274494,First Solar,Information Technology,Semiconductors
FE,1031296,FirstEnergy,Utilities,Electric Utilities
F,37996,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers
FTNT,1262039,Fortinet,Information Technology,Systems Software
FTV,1659166,Fortive,Industrials,Industrial Machinery & Supplies & Components
FOXA,1754301,Fox Corporation (Class A),Communication Services,Broadcasting
FCX,831259,Freeport-McMoRan,Materials,Copper
GRMN,1121788,Garmin,Consumer Discretionary,Consumer Electronics
IT,749251,Gartner,Information Technology,IT Consulting & Other Services
GE,40545,GE Aerospace,Industrials,Aerospace & Defense
GEHC,1932393,GE HealthCare,Health Care,Health Care Equipment
GEV,1996810,GE Vernova,Industrials,Heavy Electrical Equipment
GEN,849399,Gen Digital,Information Technology,Systems Software
GNRC,1474735,Generac,Industrials,Electrical Components & Equipment
GD,40533,General Dynamics,Industrials,Aerospace & Defense
GIS,40704,General Mills,Consumer Staples,Packaged Foods & Meats
GM,1467858,General Motors,Consumer Discretionary,Automobile Manufacturers
GPC,40987,Genuine Parts Company,Consumer Discretionary,Distributors
GILD,882095,Gilead Sciences,Health Care,Biotechnology
GDDY,1609711,GoDaddy,Information Technology,Internet Services & Infrastructure
HAL,45012,Halliburton,Energy,Oil & Gas Equipment & Services
HAS,46080,Hasbro,Consumer Discretionary,Leisure Products
HCA,860730,HCA Healthcare,Health Care,Health Care Facilities
HSIC,1000228,Henry Schein,Health Care,Health Care Distributors
HSY,47111,Hershey Company (The),Consumer Staples,Packaged Foods & Meats
HPE,1645590,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals"
HLT,1585689,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
HOLX,859737,Hologic,Health Care,Health Care Equipment
HD,354950,Home Depot (The),Consumer Discretionary,Home Improvement Retail
HON,773840,Honeywell,Industrials,Industrial Conglomerates
HRL,48465,Hormel Foods,Consumer Staples,Packaged Foods & Meats
HWM,4281,Howmet Aerospace,Industrials,Aerospace & Defense
HPQ,47217,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals"
HUBB,48898,Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components
HUM,49071,Humana,Health Care,Managed Health Care
HII,1501585,Huntington Ingalls Industries,Industrials,Aerospace & Defense
IBM,51143,IBM,Information Technology,IT Consulting & Other Services
IEX,832101,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components
IDXX,874716,Idexx Laboratories,Health Care,Health Care Equipment
ITW,49826,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components
INCY,879169,Incyte,Health Care,Biotechnology
IR,1699150,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components
PODD,1145197,Insulet Corporation,Health Care,Health Care Equipment
INTC,50863,Intel,Information Technology,Semiconductors
IFF,51253,International Flavors & Fragrances,Materials,Specialty Chemicals
IP,51434,International Paper,Materials,Paper & Plastic Packaging Products & Materials
INTU,896878,Intuit,Information Technology,Application Software
ISRG,1035267,Intuitive Surgical,Health Care,Health Care Equipment
IQV,1478242,IQVIA,Health Care,Life Sciences Tools & Services
JBHT,728535,J.B. Hunt,Industrials,Cargo Ground Transportation
JBL,898293,Jabil,Information Technology,Electronic Manufacturing Services
J,52988,Jacobs Solutions,Industrials,Construction & Engineering
JNJ,200406,Johnson & Johnson,Health Care,Pharmaceuticals
JCI,833444,Johnson Controls,Industrials,Building Products
KVUE,1944048,Kenvue,Consumer Staples,Personal Care Products
KDP,1418135,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
KEYS,1601046,Keysight Technologies,Information Technology,Electronic Equipment & Instruments
KMB,55785,Kimberly-Clark,Consumer Staples,Household Products
KMI,1506307,Kinder Morgan,Energy,Oil & Gas Storage & Transportation
KLAC,319201,KLA Corporation,Information Technology,Semiconductor Materials & Equipment
KHC,1637459,Kraft Heinz,Consumer Staples,Packaged Foods & Meats
KR,56873,Kroger,Consumer Staples,Food Retail
LHX,202058,L3Harris,Industrials,Aerospace & Defense
LH,920148,Labcorp,Health Care,Health Care Services
LRCX,707549,Lam Research,Information Technology,Semiconductor Materials & Equipment
LW,1679273,Lamb Weston,Consumer Staples,Packaged Foods & Meats
LVS,1300514,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming
LDOS,1336920,Leidos,Industrials,Diversified Support Services
LEN,920760,Lennar,Consumer Discretionary,Homebuilding
LII,1069202,Lennox International,Industrials,Building Products
LLY,59478,Lilly (Eli),Health Care,Pharmaceuticals
LIN,1707925,Linde plc,Materials,Industrial Gases
LYV,1335258,Live Nation Entertainment,Communication Services,Movies & Entertainment
LMT,936468,Lockheed Martin,Industrials,Aerospace & Defense
LOW,60667,Lowe's,Consumer Discretionary,Home Improvement Retail
LULU,1397187,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
LYB,1489393,LyondellBasell,Materials,Specialty Chemicals
MPC,1510295,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing
MAR,1048286,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
MLM,916076,Martin Marietta Materials,Materials,Construction Materials
MAS,62996,Masco,Industrials,Building Products
MTCH,891103,Match Group,Communication Services,Interactive Media & Services
MKC,63754,McCormick & Company,Consumer Staples,Packaged Foods & Meats
MCD,63908,McDonald's,Consumer Discretionary,Restaurants
MCK,927653,McKesson Corporation,Health Care,Health Care Distributors
MDT,1613103,Medtronic,Health Care,Health Care Equipment
MRK,310158,Merck & Co.,Health Care,Pharmaceuticals
META,1326801,Meta Platforms,Communication Services,Interactive Media & Services
MTD,1037646,Mettler Toledo,Health Care,Life Sciences Tools & Services
MGM,789570,MGM Resorts,Consumer Discretionary,Casinos & Gaming
MCHP,827054,Microchip Technology,Information Technology,Semiconductors
MU,723125,Micron Technology,Information Technology,Semiconductors
MSFT,789019,Microsoft,Information Technology,Systems Software
MRNA,1682852,Moderna,Health Care,Biotechnology
MOH,1179929,Molina Healthcare,Health Care,Managed Health Care
TAP,24545,Molson Coors Beverage Company,Consumer Staples,Brewers
MDLZ,1103982,Mondelez International,Consumer Staples,Packaged Foods & Meats
MPWR,1280452,Monolithic Power Systems,Information Technology,Semiconductors
MNST,865752,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
MOS,1285785,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals
MSI,68505,Motorola Solutions,Information Technology,Communications Equipment
NTAP,1002047,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals"
NFLX,1065280,Netflix,Communication Services,Movies & Entertainment
NEM,1164727,Newmont,Materials,Gold
NWSA,1564708,News Corp (Class A),Communication Services,Publishing
NEE,753308,NextEra Energy,Utilities,Multi-Utilities
NKE,320187,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
NI,1111711,NiSource,Utilities,Multi-Utilities
NDSN,72331,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components
NSC,702165,Norfolk Southern,Industrials,Rail Transportation
NOC,1133421,Northrop Grumman,Industrials,Aerospace & Defense
NCLH,1513761,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
NRG,1013871,NRG Energy,Utilities,Independent Power Producers & Energy Traders
NUE,73309,Nucor,Materials,Steel
NVDA,1045810,Nvidia,Information Technology,Semiconductors
NVR,906163,"NVR, Inc.",Consumer Discretionary,Homebuilding
NXPI,1413447,NXP Semiconductors,Information Technology,Semiconductors
ORLY,898173,O’Reilly Automotive,Consumer Discretionary,Automotive Retail
OXY,797468,Occidental Petroleum,Energy,Oil & Gas Exploration & Production
ODFL,878927,Old Dominion,Industrials,Cargo Ground Transportation
OMC,29989,Omnicom Group,Communication Services,Advertising
ON,1097864,ON Semiconductor,Information Technology,Semiconductors
OKE,1039684,Oneok,Energy,Oil & Gas Storage & Transportation
ORCL,1341439,Oracle Corporation,Information Technology,Application Software
OTIS,1781335,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components
PCAR,75362,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment
PKG,75677,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials
PLTR,1321655,Palantir Technologies,Information Technology,Application Software
PANW,1327567,Palo Alto Networks,Information Technology,Systems Software
PSKY,2041610,Paramount Skydance Corporation,Communication Services,Movies & Entertainment
PH,76334,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components
PAYX,723531,Paychex,Industrials,Human Resource & Employment Services
PAYC,1590955,Paycom,Industrials,Human Resource & Employment Services
PNR,77360,Pentair,Industrials,Industrial Machinery & Supplies & Components
PEP,77476,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
PFE,78003,Pfizer,Health Care,Pharmaceuticals
PCG,1004980,PG&E Corporation,Utilities,Multi-Utilities
PM,1413329,Philip Morris International,Consumer Staples,Tobacco
PSX,1534701,Phillips 66,Energy,Oil & Gas Refining & Marketing
PNW,764622,Pinnacle West Capital,Utilities,Multi-Utilities
POOL,945841,Pool Corporation,Consumer Discretionary,Distributors
PPG,79879,PPG Industries,Materials,Specialty Chemicals
PPL,922224,PPL Corporation,Utilities,Electric Utilities
PG,80424,Procter & Gamble,Consumer Staples,Personal Care Products
PEG,788784,Public Service Enterprise Group,Utilities,Electric Utilities
PTC,857005,PTC Inc.,Information Technology,Application Software
PHM,822416,PulteGroup,Consumer Discretionary,Homebuilding
PWR,1050915,Quanta Services,Industrials,Construction & Engineering
QCOM,804328,Qualcomm,Information Technology,Semiconductors
DGX,1022079,Quest Diagnostics,Health Care,Health Care Services
Q,1700849,Qnity Electronics,Information Technology,Semiconductor Materials & Equipment
RL,1037038,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
RTX,101829,RTX Corporation,Industrials,Aerospace & Defense
REGN,872589,Regeneron Pharmaceuticals,Health Care,Biotechnology
RSG,1060391,Republic Services,Industrials,Environmental & Facilities Services
RMD,943819,ResMed,Health Care,Health Care Equipment
RVTY,31791,Revvity,Health Care,Health Care Equipment
ROK,1024478,Rockwell Automation,Industrials,Electrical Components & Equipment
ROL,84839,"Rollins, Inc.",Industrials,Environmental & Facilities Services
ROP,882835,Roper Technologies,Information Technology,Electronic Equipment & Instruments
ROST,745732,Ross Stores,Consumer Discretionary,Apparel Retail
RCL,884887,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
CRM,1108524,Salesforce,Information Technology,Application Software
SLB,87347,Schlumberger,Energy,Oil & Gas Equipment & Services
STX,1137789,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals"
SRE,1032208,Sempra,Utilities,Multi-Utilities
NOW,1373715,ServiceNow,Information Technology,Systems Software
SHW,89800,Sherwin-Williams,Materials,Specialty Chemicals
SWKS,4127,Skyworks Solutions,Information Technology,Semiconductors
SJM,91419,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats
SW,2005951,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials
SNA,91440,Snap-on,Industrials,Industrial Machinery & Supplies & Components
SOLV,1964738,Solventum,Health Care,Health Care Technology
SO,92122,Southern Company,Utilities,Electric Utilities
LUV,92380,Southwest Airlines,Industrials,Passenger Airlines
SWK,93556,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components
SBUX,829224,Starbucks,Consumer Discretionary,Restaurants
STLD,1022671,Steel Dynamics,Materials,Steel
STE,1757898,Steris,Health Care,Health Care Equipment
SYK,310764,Stryker Corporation,Health Care,Health Care Equipment
SMCI,1375365,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals"
SNPS,883241,Synopsys,Information Technology,Application Software
SYY,96021,Sysco,Consumer Staples,Food Distributors
TMUS,1283699,T-Mobile US,Communication Services,Wireless Telecommunication Services
TTWO,946581,Take-Two Interactive,Communication Services,Interactive Home Entertainment
TPR,1116132,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
TRGP,1389170,Targa Resources,Energy,Oil & Gas Storage & Transportation
TGT,27419,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail
TEL,1385157,TE Connectivity,Information Technology,Electronic Manufacturing Services
TDY,1094285,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments
TER,97210,Teradyne,Information Technology,Semiconductor Materials & Equipment
TSLA,1318605,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers
TXN,97476,Texas Instruments,Information Technology,Semiconductors
TPL,1811074,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production
TXT,217346,Textron,Industrials,Aerospace & Defense
TMO,97745,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services
TJX,109198,TJX Companies,Consumer Discretionary,Apparel Retail
TKO,1973266,TKO Group Holdings,Communication Services,Movies & Entertainment
TTD,1671933,Trade Desk (The),Communication Services,Advertising
TSCO,916365,Tractor Supply,Consumer Discretionary,Other Specialty Retail
TT,1466258,Trane Technologies,Industrials,Building Products
TDG,1260221,TransDigm Group,Industrials,Aerospace & Defense
TRMB,864749,Trimble Inc.,Information Technology,Electronic Equipment & Instruments
TYL,860731,Tyler Technologies,Information Technology,Application Software
TSN,100493,Tyson Foods,Consumer Staples,Packaged Foods & Meats
UBER,1543151,Uber,Industrials,Passenger Ground Transportation
ULTA,1403568,Ulta Beauty,Consumer Discretionary,Other Specialty Retail
UNP,100885,Union Pacific Corporation,Industrials,Rail Transportation
UAL,100517,United Airlines Holdings,Industrials,Passenger Airlines
UPS,1090727,United Parcel Service,Industrials,Air Freight & Logistics
URI,1067701,United Rentals,Industrials,Trading Companies & Distributors
UNH,731766,UnitedHealth Group,Health Care,Managed Health Care
UHS,352915,Universal Health Services,Health Care,Health Care Facilities
VLO,1035002,Valero Energy,Energy,Oil & Gas Refining & Marketing
VLTO,1967680,Veralto,Industrials,Environmental & Facilities Services
VRSN,1014473,Verisign,Information Technology,Internet Services & Infrastructure
VRSK,1442145,Verisk Analytics,Industrials,Research & Consulting Services
VZ,732712,Verizon,Communication Services,Integrated Telecommunication Services
VRTX,875320,Vertex Pharmaceuticals,Health Care,Biotechnology
VTRS,1792044,Viatris,Health Care,Pharmaceuticals
VST,1692819,Vistra Corp.,Utilities,Electric Utilities
VMC,1396009,Vulcan Materials Company,Materials,Construction Materials
GWW,277135,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components
WAB,943452,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment
WMT,104169,Walmart,Consumer Staples,Consumer Staples Merchandise Retail
DIS,1744489,Walt Disney Company (The),Communication Services,Movies & Entertainment
WBD,1437107,Warner Bros. Discovery,Communication Services,Broadcasting
WM,823768,Waste Management,Industrials,Environmental & Facilities Services
WAT,1000697,Waters Corporation,Health Care,Life Sciences Tools & Services
WEC,783325,WEC Energy Group,Utilities,Electric Utilities
WST,105770,West Pharmaceutical Services,Health Care,Health Care Supplies
WDC,106040,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals"
WSM,719955,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail
WMB,107263,Williams Companies,Energy,Oil & Gas Storage & Transportation
WDAY,1327811,"Workday, Inc.",Information Technology,Application Software
WYNN,1174922,Wynn Resorts,Consumer Discretionary,Casinos & Gaming
XEL,72903,Xcel Energy,Utilities,Multi-Utilities
XYL,1524472,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components
YUM,1041061,Yum! Brands,Consumer Discretionary,Restaurants
ZBRA,877212,Zebra Technologies,Information Technology,Electronic Equipment & Instruments
ZBH,1136869,Zimmer Biomet,Health Care,Health Care Equipment
ZTS,1555280,Zoetis,Health Care,Pharmaceuticals
